date,ed_count,visit_mean,los_mean,los_reference,los_difference,change
2020-W01,12,290.67,185.82,193.54,-7.72,Abnahme
2020-W02,12,383.95,206.83,193.54,13.3,Zunahme
2020-W03,12,380.57,210.49,193.54,16.96,Zunahme
2020-W04,12,383.19,204.62,193.54,11.08,Zunahme
2020-W05,12,391.52,206.17,193.54,12.64,Zunahme
2020-W06,12,382.14,200.97,193.54,7.43,Zunahme
2020-W07,12,383.0,203.48,193.54,9.94,Zunahme
2020-W08,12,395.05,199.52,193.54,5.99,Zunahme
2020-W09,12,390.1,202.54,193.54,9.01,Zunahme
2020-W10,12,380.71,194.49,193.54,0.95,Zunahme
2020-W11,12,347.33,188.48,193.54,-5.06,Abnahme
2020-W12,12,265.29,179.3,193.54,-14.24,Abnahme
2020-W13,12,228.52,183.34,193.54,-10.19,Abnahme
2020-W14,12,243.05,173.42,193.54,-20.12,Abnahme
2020-W15,12,256.29,181.02,193.54,-12.52,Abnahme
2020-W16,12,251.71,174.36,193.54,-19.17,Abnahme
2020-W17,12,247.67,178.2,193.54,-15.34,Abnahme
2020-W18,12,250.86,182.84,193.54,-10.7,Abnahme
2020-W19,12,283.95,190.93,193.54,-2.61,Abnahme
2020-W20,12,285.81,185.13,193.54,-8.4,Abnahme
2020-W21,12,332.57,186.91,193.54,-6.62,Abnahme
2020-W22,12,344.33,192.87,193.54,-0.66,Abnahme
2020-W23,12,337.48,199.18,193.54,5.64,Zunahme
2020-W24,12,353.29,197.09,193.54,3.56,Zunahme
2020-W25,12,362.19,196.13,193.54,2.59,Zunahme
2020-W26,12,378.1,199.92,193.54,6.39,Zunahme
2020-W27,12,375.95,205.34,193.54,11.8,Zunahme
2020-W28,12,361.43,190.21,193.54,-3.33,Abnahme
2020-W29,12,379.67,198.72,193.54,5.19,Zunahme
2020-W30,12,392.19,201.25,193.54,7.72,Zunahme
2020-W31,12,387.05,198.39,193.54,4.85,Zunahme
2020-W32,12,374.19,196.29,193.54,2.76,Zunahme
2020-W33,12,396.24,194.28,193.54,0.75,Zunahme
2020-W34,12,386.52,197.64,193.54,4.1,Zunahme
2020-W35,12,377.86,190.71,193.54,-2.83,Abnahme
2020-W36,12,370.38,191.41,193.54,-2.12,Abnahme
2020-W37,12,382.33,192.89,193.54,-0.65,Abnahme
2020-W38,12,388.71,201.36,193.54,7.82,Zunahme
2020-W39,12,361.86,192.36,193.54,-1.17,Abnahme
2020-W40,12,362.86,204.57,193.54,11.03,Zunahme
2020-W41,12,355.67,202.6,193.54,9.07,Zunahme
2020-W42,12,349.57,197.54,193.54,4.0,Zunahme
2020-W43,12,354.57,203.82,193.54,10.29,Zunahme
2020-W44,12,331.33,194.31,193.54,0.77,Zunahme
2020-W45,12,313.86,205.14,193.54,11.6,Zunahme
2020-W46,12,315.29,200.0,193.54,6.47,Zunahme
2020-W47,12,304.0,197.5,193.54,3.96,Zunahme
2020-W48,12,300.05,194.16,193.54,0.62,Zunahme
2020-W49,13,319.71,205.49,193.54,11.95,Zunahme
2020-W50,13,309.81,206.1,193.54,12.57,Zunahme
2020-W51,13,307.86,209.2,193.54,15.66,Zunahme
2020-W52,13,298.1,186.06,193.54,-7.47,Abnahme
2020-W53,14,338.52,202.45,193.54,8.92,Zunahme
2021-W01,14,317.19,196.78,193.54,3.24,Zunahme
2021-W02,14,319.38,193.14,193.54,-0.39,Abnahme
2021-W03,15,307.1,186.37,193.54,-7.16,Abnahme
2021-W04,15,321.43,190.5,193.54,-3.04,Abnahme
2021-W05,17,341.76,186.14,193.54,-7.39,Abnahme
2021-W06,17,378.67,193.61,193.54,0.07,Zunahme
2021-W07,17,392.67,194.96,193.54,1.43,Zunahme
2021-W08,18,394.05,188.99,193.54,-4.54,Abnahme
2021-W09,16,383.0,190.4,193.54,-3.14,Abnahme
2021-W10,17,379.9,191.78,193.54,-1.75,Abnahme
2021-W11,16,402.14,191.26,193.54,-2.28,Abnahme
2021-W12,16,412.62,189.76,193.54,-3.78,Abnahme
2021-W13,16,455.81,196.75,193.54,3.21,Zunahme
2021-W14,16,425.48,190.6,193.54,-2.94,Abnahme
2021-W15,16,404.38,192.07,193.54,-1.47,Abnahme
2021-W16,16,423.43,195.85,193.54,2.32,Zunahme
2021-W17,16,406.24,194.13,193.54,0.59,Zunahme
2021-W18,16,430.43,196.04,193.54,2.51,Zunahme
2021-W19,16,460.24,191.74,193.54,-1.79,Abnahme
2021-W20,16,460.81,195.18,193.54,1.65,Zunahme
2021-W21,16,469.38,194.49,193.54,0.96,Zunahme
2021-W22,16,453.05,201.53,193.54,8.0,Zunahme
2021-W23,15,456.57,186.62,193.54,-6.91,Abnahme
2021-W24,16,524.57,193.09,193.54,-0.45,Abnahme
2021-W25,16,540.14,189.0,193.54,-4.53,Abnahme
2021-W26,16,518.0,185.6,193.54,-7.94,Abnahme
2021-W27,16,525.52,187.98,193.54,-5.55,Abnahme
2021-W28,16,530.33,194.86,193.54,1.33,Zunahme
2021-W29,16,537.76,193.39,193.54,-0.15,Abnahme
2021-W30,16,534.86,186.4,193.54,-7.14,Abnahme
2021-W31,16,501.81,191.17,193.54,-2.36,Abnahme
2021-W32,16,505.38,196.6,193.54,3.06,Zunahme
2021-W33,17,485.48,199.31,193.54,5.77,Zunahme
2021-W34,16,482.95,196.06,193.54,2.53,Zunahme
2021-W35,16,512.52,198.25,193.54,4.72,Zunahme
2021-W36,16,518.86,203.66,193.54,10.12,Zunahme
